time,年,月,日,小时,分钟,秒,温度(室外),湿度(室外),气压(室外),湿度(室内),气压(室内),temperature
1552496443,2019,3,14,1,0,43,14.6,85,993.1,80,992.4,15.4
1552496503,2019,3,14,1,1,43,14.7,84,993,80,992.6,15.4
1552496565,2019,3,14,1,2,45,14.7,84,992.7,80,992.8,15.4
1552496624,2019,3,14,1,3,44,14.6,85,993.2,80,992.6,15.4
1552496682,2019,3,14,1,4,42,14.6,85,992.7,80,992.6,15.3
1552496745,2019,3,14,1,5,45,14.6,85,993.1,80,992.9,15.3
1552496804,2019,3,14,1,6,44,14.5,85,993.6,80,409.6,15.3
1552496862,2019,3,14,1,7,42,14.5,85,993.6,80,992.8,15.3
1552496925,2019,3,14,1,8,45,14.5,85,993.4,80,993.2,15.3
1552496982,2019,3,14,1,9,42,14.5,85,993.8,80,993.2,15.3
1552497045,2019,3,14,1,10,45,14.5,85,993.7,80,993.2,15.3
1552497104,2019,3,14,1,11,44,14.5,86,993.8,80,993.3,15.2
1552497167,2019,3,14,1,12,47,14.4,86,994.5,81,993.3,15.2
1552497224,2019,3,14,1,13,44,14.4,86,994.4,81,993.4,15.2
1552497288,2019,3,14,1,14,48,14.4,86,992.7,81,993.6,15.2
1552497343,2019,3,14,1,15,43,14.4,86,992.7,81,993.7,15.2
1552497405,2019,3,14,1,16,45,14.4,86,992.7,81,993.8,15.1
1552497463,2019,3,14,1,17,43,14.3,86,993,81,993.8,15.1
1552497528,2019,3,14,1,18,48,14.4,86,993,81,992.1,15.1
1552497584,2019,3,14,1,19,44,14.4,86,993.1,81,991.9,15.1
1552497644,2019,3,14,1,20,44,14.4,86,993.2,81,992.2,15.1
1552497707,2019,3,14,1,21,47,14.4,86,993.1,81,992.3,15.1
1552497765,2019,3,14,1,22,45,14.4,86,993.1,81,992.2,15.1
1552497826,2019,3,14,1,23,46,14.3,87,993.7,81,992.2,15.1
1552497885,2019,3,14,1,24,45,14.3,87,993.6,81,992,15.1
1552497946,2019,3,14,1,25,46,14.3,87,993.6,81,992.3,15.1
1552498006,2019,3,14,1,26,46,14.3,87,993.8,81,992.3,15.1
1552498067,2019,3,14,1,27,47,14.3,87,993.8,81,992.6,15.1
1552498125,2019,3,14,1,28,45,14.3,87,993.8,82,992.6,15
1552498188,2019,3,14,1,29,48,14.3,87,993.8,82,992.9,15
1552498245,2019,3,14,1,30,45,14.3,87,993.8,82,992.7,15
1552498308,2019,3,14,1,31,48,14.3,87,993.8,82,993,15
1552498367,2019,3,14,1,32,47,14.3,87,993.8,82,992.7,15
1552498426,2019,3,14,1,33,46,14.3,87,993.8,82,992.9,15
1552498485,2019,3,14,1,34,45,14.3,87,993.8,82,993,15
1552498548,2019,3,14,1,35,48,14.2,87,994.2,82,993,15
1552498607,2019,3,14,1,36,47,14.2,87,994.3,82,993,15
1552498668,2019,3,14,1,37,48,14.2,87,994.3,82,993.3,15
1552498728,2019,3,14,1,38,48,14.2,87,995,82,993.1,15
1552498787,2019,3,14,1,39,47,14.2,87,994.7,82,993.4,15
1552498849,2019,3,14,1,40,49,14.1,87,994.7,82,993.2,14.9
1552498905,2019,3,14,1,41,45,14.2,87,995,82,993.2,15
1552498968,2019,3,14,1,42,48,14.2,87,993.1,82,993.4,14.9
1552499028,2019,3,14,1,43,48,14.2,87,995,82,993.4,15
1552499087,2019,3,14,1,44,47,14.2,87,993.2,82,993.2,15
1552499148,2019,3,14,1,45,48,14.1,87,993.1,82,993.4,15
1552499208,2019,3,14,1,46,48,,,,82,993.2,14.9
1552499209,2019,3,14,1,46,49,14.1,87,993.1,,,
1552499268,2019,3,14,1,47,48,14.1,87,993.2,82,993.5,14.9
1552499328,2019,3,14,1,48,48,14.1,87,993.6,82,993.4,14.9
1552499389,2019,3,14,1,49,49,14.1,87,993.1,82,993.4,14.9
1552499448,2019,3,14,1,50,48,14.1,87,993,82,993.2,14.9
1552499510,2019,3,14,1,51,50,14.1,87,993.2,82,993.4,15
1552499568,2019,3,14,1,52,48,14.1,87,993.5,81,993.4,15
1552499626,2019,3,14,1,53,46,14,87,993.5,81,993.5,14.9
1552499750,2019,3,14,1,55,50,13.9,87,993.6,82,993.6,14.8
1552499807,2019,3,14,1,56,47,13.9,87,994.4,82,410.1,14.8
1552499870,2019,3,14,1,57,50,13.8,87,994.4,81,993.6,14.8
1552499928,2019,3,14,1,58,48,13.8,87,994.7,81,993.9,14.8
1552499990,2019,3,14,1,59,50,13.8,88,994.6,82,993.8,14.7
1552500048,2019,3,14,2,0,48,13.7,88,992.6,82,993.8,14.7
1552500109,2019,3,14,2,1,49,13.6,88,979.6,82,994.1,14.7
1552500169,2019,3,14,2,2,49,,,,82,992.3,14.7
